site,target,metric,value,n
rosedene,nee,mae,1.2296018600463867,20968
rosedene,nee,rmse,2.0661516189575195,20968
rosedene,nee,bias,0.02704414539039135,20968
rosedene,nee,r2,0.546416699886322,20968
rosedene,nee,mmd,0.05117323778973146,20968
rosedene,nee,kl,0.025065213542755725,20968
rosedene,nee,wasserstein,0.1509717243408393,20968
rosedene,nee_mean,mae,0.9069092869758606,20968
rosedene,nee_mean,rmse,1.7790805101394653,20968
rosedene,nee_mean,bias,0.021227028220891953,20968
rosedene,nee_mean,r2,0.6637023091316223,20968
rosedene,nee_mean,mmd,0.02304188302497849,20968
rosedene,nee_mean,kl,0.006475124703267172,20968
rosedene,nee_mean,wasserstein,0.028032408775466873,20968
rosedene,f,mae,0.030230309814214706,20968
rosedene,f,rmse,0.0593026839196682,20968
rosedene,f,bias,0.0007075676694512367,20968
rosedene,f,r2,0.0009036660194396973,20968
rosedene,f,mmd,0.005337698024676623,20968
rosedene,f,kl,6.955512311434039,20968
rosedene,f,wasserstein,0.0289572619058532,20968
