site,target,metric,value,n
rosedene,nee,mae,1.1560940742492676,20968
rosedene,nee,rmse,2.0154881477355957,20968
rosedene,nee,bias,0.03895757347345352,20968
rosedene,nee,r2,0.5683882832527161,20968
rosedene,nee,mmd,0.032013623109396004,20968
rosedene,nee,kl,0.022618143798972125,20968
rosedene,nee,wasserstein,0.1324538485951351,20968
rosedene,nee_mean,mae,0.9071570634841919,20968
rosedene,nee_mean,rmse,1.7805252075195312,20968
rosedene,nee_mean,bias,0.04120711237192154,20968
rosedene,nee_mean,r2,0.6631559133529663,20968
rosedene,nee_mean,mmd,0.021768939530595954,20968
rosedene,nee_mean,kl,0.00645823791849483,20968
rosedene,nee_mean,wasserstein,0.04431674798223199,20968
rosedene,dtemp,mae,0.008039062842726707,20968
rosedene,dtemp,rmse,0.01077939197421074,20968
rosedene,dtemp,bias,0.0031089771073311567,20968
rosedene,dtemp,r2,-0.04007911682128906,20968
rosedene,dtemp,mmd,0.003311684562072885,20968
rosedene,dtemp,kl,5.730298170673632,20968
rosedene,dtemp,wasserstein,0.006974725443105493,20968
rosedene,f,mae,0.030238570645451546,20968
rosedene,f,rmse,0.059350837022066116,20968
rosedene,f,bias,0.0013735704123973846,20968
rosedene,f,r2,-0.0007196664810180664,20968
rosedene,f,mmd,0.005270271763897193,20968
rosedene,f,kl,9.229890036888763,20968
rosedene,f,wasserstein,0.029988321377836438,20968
