site,target,metric,value,n
rosedene,nee,mae,1.5380436182022095,20968
rosedene,nee,rmse,2.4839820861816406,20968
rosedene,nee,bias,-0.061289455741643906,20968
rosedene,nee,r2,0.3444140553474426,20968
rosedene,nee,mmd,0.07986067112971931,20968
rosedene,nee,kl,0.07025539977472944,20968
rosedene,nee,wasserstein,0.3029045671337768,20968
rosedene,nee_mean,mae,0.9067253470420837,20968
rosedene,nee_mean,rmse,1.7800770998001099,20968
rosedene,nee_mean,bias,0.04348495230078697,20968
rosedene,nee_mean,r2,0.6633254289627075,20968
rosedene,nee_mean,mmd,0.0207167382738017,20968
rosedene,nee_mean,kl,0.005196145785843794,20968
rosedene,nee_mean,wasserstein,0.04632708914490913,20968
rosedene,dtemp,mae,0.008422726765275002,20968
rosedene,dtemp,rmse,0.011438301764428616,20968
rosedene,dtemp,bias,0.004009976051747799,20968
rosedene,dtemp,r2,-0.17111873626708984,20968
rosedene,dtemp,mmd,0.005167483029423029,20968
rosedene,dtemp,kl,8.929246493158107,20968
rosedene,dtemp,wasserstein,0.007154808584216598,20968
rosedene,f,mae,0.030224179849028587,20968
rosedene,f,rmse,0.05933590233325958,20968
rosedene,f,bias,0.001449498231522739,20968
rosedene,f,r2,-0.00021600723266601562,20968
rosedene,f,mmd,0.005337698024676623,20968
rosedene,f,kl,10.870846885754403,20968
rosedene,f,wasserstein,0.029989338214402552,20968
