site,target,metric,value,n
rosedene,nee,mae,1.618943691253662,20968
rosedene,nee,rmse,2.49462628364563,20968
rosedene,nee,bias,-0.0066528720781207085,20968
rosedene,nee,r2,0.33878350257873535,20968
rosedene,nee,mmd,0.08535255414094278,20968
rosedene,nee,kl,0.06828724696626354,20968
rosedene,nee,wasserstein,0.3421508441998089,20968
rosedene,nee_mean,mae,0.908949613571167,20968
rosedene,nee_mean,rmse,1.7808277606964111,20968
rosedene,nee_mean,bias,0.01058993674814701,20968
rosedene,nee_mean,r2,0.6630414128303528,20968
rosedene,nee_mean,mmd,0.021936004587703034,20968
rosedene,nee_mean,kl,0.008731104773131411,20968
rosedene,nee_mean,wasserstein,0.020920031294312,20968
rosedene,dtemp,mae,0.01705281250178814,20968
rosedene,dtemp,rmse,0.023120323196053505,20968
rosedene,dtemp,bias,-0.002721224445849657,20968
rosedene,dtemp,r2,-3.784820556640625,20968
rosedene,dtemp,mmd,0.004606436099637013,20968
rosedene,dtemp,kl,0.24375469395515195,20968
rosedene,dtemp,wasserstein,0.007473165839221054,20968
rosedene,f,mae,0.030298318713903427,20968
rosedene,f,rmse,0.05936092883348465,20968
rosedene,f,bias,0.0003529979148879647,20968
rosedene,f,r2,-0.001059889793395996,20968
rosedene,f,mmd,0.00469613868693148,20968
rosedene,f,kl,4.950429724275237,20968
rosedene,f,wasserstein,0.027675535506121066,20968
