site,target,metric,value,n
rosedene,nee,mae,1.1895402669906616,20968
rosedene,nee,rmse,2.1008448600769043,20968
rosedene,nee,bias,0.010590333491563797,20968
rosedene,nee,r2,0.5310563445091248,20968
rosedene,nee,mmd,0.04167052092209872,20968
rosedene,nee,kl,0.017526059155613047,20968
rosedene,nee,wasserstein,0.13236318609481115,20968
rosedene,nee_mean,mae,0.9082673788070679,20968
rosedene,nee_mean,rmse,1.781409502029419,20968
rosedene,nee_mean,bias,0.062217146158218384,20968
rosedene,nee_mean,r2,0.6628212332725525,20968
rosedene,nee_mean,mmd,0.021196693428855704,20968
rosedene,nee_mean,kl,0.0069674378184195595,20968
rosedene,nee_mean,wasserstein,0.06539089166733754,20968
rosedene,dtemp,mae,0.014959964901208878,20968
rosedene,dtemp,rmse,0.019657615572214127,20968
rosedene,dtemp,bias,0.010132934898138046,20968
rosedene,dtemp,r2,-2.4589121341705322,20968
rosedene,dtemp,mmd,0.013977983601855114,20968
rosedene,dtemp,kl,0.5374135254191701,20968
rosedene,dtemp,wasserstein,0.011015909186585415,20968
rosedene,f,mae,0.030275583267211914,20968
rosedene,f,rmse,0.059380318969488144,20968
rosedene,f,bias,0.0020739047322422266,20968
rosedene,f,r2,-0.0017139911651611328,20968
rosedene,f,mmd,0.0058491936282768255,20968
rosedene,f,kl,5.89865308053338,20968
rosedene,f,wasserstein,0.028782106248634153,20968
