site,target,metric,value,n
rosedene,nee,mae,1.1721692085266113,20968
rosedene,nee,rmse,2.012341022491455,20968
rosedene,nee,bias,0.02966296300292015,20968
rosedene,nee,r2,0.5697351098060608,20968
rosedene,nee,mmd,0.04966116777270698,20968
rosedene,nee,kl,0.021474678756715368,20968
rosedene,nee,wasserstein,0.10382535820231725,20968
rosedene,nee_mean,mae,0.9042904376983643,20968
rosedene,nee_mean,rmse,1.7758972644805908,20968
rosedene,nee_mean,bias,0.02616296149790287,20968
rosedene,nee_mean,r2,0.6649047136306763,20968
rosedene,nee_mean,mmd,0.02063674361230875,20968
rosedene,nee_mean,kl,0.005364808564360626,20968
rosedene,nee_mean,wasserstein,0.030919836654097962,20968
rosedene,dtemp,mae,0.014204243198037148,20968
rosedene,dtemp,rmse,0.017835142090916634,20968
rosedene,dtemp,bias,0.0032647033222019672,20968
rosedene,dtemp,r2,-1.8472857475280762,20968
rosedene,dtemp,mmd,0.004270716719857398,20968
rosedene,dtemp,kl,0.376722651525328,20968
rosedene,dtemp,wasserstein,0.005622061490706432,20968
rosedene,f,mae,0.0301430132240057,20968
rosedene,f,rmse,0.05919657275080681,20968
rosedene,f,bias,0.0008720987825654447,20968
rosedene,f,r2,0.004475772380828857,20968
rosedene,f,mmd,0.005167483029423029,20968
rosedene,f,kl,8.685457085869258,20968
rosedene,f,wasserstein,0.028225269641055886,20968
