site,target,metric,value,n
woodwalton,nee,mae,1.1277856826782227,17164
woodwalton,nee,rmse,1.862194538116455,17164
woodwalton,nee,bias,-0.27179649472236633,17164
woodwalton,nee,r2,0.458710253238678,17164
woodwalton,nee,mmd,0.06617517096047391,17164
woodwalton,nee,kl,0.03841010434489941,17164
woodwalton,nee,wasserstein,0.30067155475406304,17164
woodwalton,nee_mean,mae,0.756671130657196,17164
woodwalton,nee_mean,rmse,1.4147435426712036,17164
woodwalton,nee_mean,bias,-0.28195950388908386,17164
woodwalton,nee_mean,r2,0.6875826716423035,17164
woodwalton,nee_mean,mmd,0.05789273854051313,17164
woodwalton,nee_mean,kl,0.053780030329125365,17164
woodwalton,nee_mean,wasserstein,0.3079350644843469,17164
woodwalton,dtemp,mae,0.05283627659082413,17164
woodwalton,dtemp,rmse,0.07260212302207947,17164
woodwalton,dtemp,bias,-0.042852967977523804,17164
woodwalton,dtemp,r2,-26.919355392456055,17164
woodwalton,dtemp,mmd,0.06399465550518683,17164
woodwalton,dtemp,kl,0.5633996283021833,17164
woodwalton,dtemp,wasserstein,0.04285296935543022,17164
woodwalton,f,mae,0.02522237040102482,17164
woodwalton,f,rmse,0.04715811461210251,17164
woodwalton,f,bias,-0.009398648515343666,17164
woodwalton,f,r2,-0.31421470642089844,17164
woodwalton,f,mmd,0.015211352044380093,17164
woodwalton,f,kl,0.9110386140395487,17164
woodwalton,f,wasserstein,0.011867662078159256,17164
