site,target,metric,value,n
woodwalton,nee,mae,1.1086965799331665,17164
woodwalton,nee,rmse,1.8302961587905884,17164
woodwalton,nee,bias,0.16868862509727478,17164
woodwalton,nee,r2,0.47709542512893677,17164
woodwalton,nee,mmd,0.03824484514893083,17164
woodwalton,nee,kl,0.0424370559592858,17164
woodwalton,nee,wasserstein,0.1896579496149451,17164
woodwalton,nee_mean,mae,0.606508731842041,17164
woodwalton,nee_mean,rmse,1.281132459640503,17164
woodwalton,nee_mean,bias,0.16264909505844116,17164
woodwalton,nee_mean,r2,0.7438067197799683,17164
woodwalton,nee_mean,mmd,0.026763759425541413,17164
woodwalton,nee_mean,kl,0.0349686702512831,17164
woodwalton,nee_mean,wasserstein,0.1644175410415236,17164
woodwalton,dtemp,mae,0.025167176499962807,17164
woodwalton,dtemp,rmse,0.03295062109827995,17164
woodwalton,dtemp,bias,0.011513070203363895,17164
woodwalton,dtemp,r2,-4.750874042510986,17164
woodwalton,dtemp,mmd,0.01589728573837862,17164
woodwalton,dtemp,kl,0.3911079695726459,17164
woodwalton,dtemp,wasserstein,0.012750613079431379,17164
woodwalton,f,mae,0.020216960459947586,17164
woodwalton,f,rmse,0.04270441457629204,17164
woodwalton,f,bias,0.005421636626124382,17164
woodwalton,f,r2,-0.07770276069641113,17164
woodwalton,f,mmd,0.006999644134195044,17164
woodwalton,f,kl,1.0473032289526742,17164
woodwalton,f,wasserstein,0.013189340898866607,17164
