site,target,metric,value,n
woodwalton,nee,mae,0.9674487709999084,17164
woodwalton,nee,rmse,1.5832184553146362,17164
woodwalton,nee,bias,0.2897179126739502,17164
woodwalton,nee,r2,0.6087436676025391,17164
woodwalton,nee,mmd,0.04431673549968591,17164
woodwalton,nee,kl,0.06539638553951638,17164
woodwalton,nee,wasserstein,0.2906709268891652,17164
woodwalton,nee_mean,mae,0.7311388850212097,17164
woodwalton,nee_mean,rmse,1.380810260772705,17164
woodwalton,nee_mean,bias,0.28974097967147827,17164
woodwalton,nee_mean,r2,0.7023898363113403,17164
woodwalton,nee_mean,mmd,0.040515208438213296,17164
woodwalton,nee_mean,kl,0.05190812612184798,17164
woodwalton,nee_mean,wasserstein,0.29388108678768476,17164
woodwalton,dtemp,mae,0.04501568153500557,17164
woodwalton,dtemp,rmse,0.0676574856042862,17164
woodwalton,dtemp,bias,0.029947780072689056,17164
woodwalton,dtemp,r2,-23.245908737182617,17164
woodwalton,dtemp,mmd,0.03921023090134035,17164
woodwalton,dtemp,kl,0.5547014627637662,17164
woodwalton,dtemp,wasserstein,0.034418481827802744,17164
woodwalton,f,mae,0.02437129244208336,17164
woodwalton,f,rmse,0.046027008444070816,17164
woodwalton,f,bias,0.009658033028244972,17164
woodwalton,f,r2,-0.25192689895629883,17164
woodwalton,f,mmd,0.012182592724486963,17164
woodwalton,f,kl,0.6579527870530395,17164
woodwalton,f,wasserstein,0.011668867960544936,17164
