site,target,metric,value,n
woodwalton,nee,mae,1.1397945880889893,17164
woodwalton,nee,rmse,1.824568510055542,17164
woodwalton,nee,bias,0.24428507685661316,17164
woodwalton,nee,r2,0.48036301136016846,17164
woodwalton,nee,mmd,0.06451528614977937,17164
woodwalton,nee,kl,0.05385789766724032,17164
woodwalton,nee,wasserstein,0.2888292501447451,17164
woodwalton,nee_mean,mae,0.7068502306938171,17164
woodwalton,nee_mean,rmse,1.3638808727264404,17164
woodwalton,nee_mean,bias,0.28183498978614807,17164
woodwalton,nee_mean,r2,0.709642767906189,17164
woodwalton,nee_mean,mmd,0.041877768126134876,17164
woodwalton,nee_mean,kl,0.04376280093889964,17164
woodwalton,nee_mean,wasserstein,0.28231959722383104,17164
woodwalton,f,mae,0.02356167510151863,17164
woodwalton,f,rmse,0.04546269401907921,17164
woodwalton,f,bias,0.009394499473273754,17164
woodwalton,f,r2,-0.22141659259796143,17164
woodwalton,f,mmd,0.012187484349949887,17164
woodwalton,f,kl,0.6187764421244683,17164
woodwalton,f,wasserstein,0.013192193267983938,17164
