site,target,metric,value,n
woodwalton,nee,mae,0.6903474926948547,17164
woodwalton,nee,rmse,1.368241786956787,17164
woodwalton,nee,bias,0.07296479493379593,17164
woodwalton,nee,r2,0.7077831029891968,17164
woodwalton,nee,mmd,0.024803413899082406,17164
woodwalton,nee,kl,0.03064133237628082,17164
woodwalton,nee,wasserstein,0.07635342925941041,17164
woodwalton,nee_mean,mae,0.5378325581550598,17164
woodwalton,nee_mean,rmse,1.2461185455322266,17164
woodwalton,nee_mean,bias,0.090286023914814,17164
woodwalton,nee_mean,r2,0.7576190829277039,17164
woodwalton,nee_mean,mmd,0.01711424039875184,17164
woodwalton,nee_mean,kl,0.02907326316238259,17164
woodwalton,nee_mean,wasserstein,0.09890553470302892,17164
woodwalton,f,mae,0.017927752807736397,17164
woodwalton,f,rmse,0.04153728485107422,17164
woodwalton,f,bias,0.0030095342081040144,17164
woodwalton,f,r2,-0.019599556922912598,17164
woodwalton,f,mmd,0.004488470779016171,17164
woodwalton,f,kl,4.049222059026326,17164
woodwalton,f,wasserstein,0.016500052911802277,17164
