site,target,metric,value,n
woodwalton,nee,mae,1.4531954526901245,17164
woodwalton,nee,rmse,2.1217877864837646,17164
woodwalton,nee,bias,-0.010460511781275272,17164
woodwalton,nee,r2,0.2972779870033264,17164
woodwalton,nee,mmd,0.06006305957100851,17164
woodwalton,nee,kl,0.060436451410600216,17164
woodwalton,nee,wasserstein,0.3062680863147628,17164
woodwalton,nee_mean,mae,0.6479153037071228,17164
woodwalton,nee_mean,rmse,1.291461706161499,17164
woodwalton,nee_mean,bias,-0.014858062379062176,17164
woodwalton,nee_mean,r2,0.7396588325500488,17164
woodwalton,nee_mean,mmd,0.024990747647010144,17164
woodwalton,nee_mean,kl,0.049122018232700654,17164
woodwalton,nee_mean,wasserstein,0.07779330354916597,17164
woodwalton,dtemp,mae,0.03133697807788849,17164
woodwalton,dtemp,rmse,0.03925727680325508,17164
woodwalton,dtemp,bias,-0.014372364617884159,17164
woodwalton,dtemp,r2,-7.1629486083984375,17164
woodwalton,dtemp,mmd,0.019704432396465892,17164
woodwalton,dtemp,kl,0.6504646180005383,17164
woodwalton,dtemp,wasserstein,0.020858769165189653,17164
woodwalton,f,mae,0.021597176790237427,17164
woodwalton,f,rmse,0.04304872453212738,17164
woodwalton,f,bias,-0.0004952687304466963,17164
woodwalton,f,r2,-0.09515118598937988,17164
woodwalton,f,mmd,0.00244140625,17164
woodwalton,f,kl,0.6675864027263514,17164
woodwalton,f,wasserstein,0.011479860555743675,17164
