site,target,metric,value,n
woodwalton,nee,mae,0.7477127313613892,17164
woodwalton,nee,rmse,1.3840495347976685,17164
woodwalton,nee,bias,0.13610316812992096,17164
woodwalton,nee,r2,0.7009918689727783,17164
woodwalton,nee,mmd,0.02576695826350243,17164
woodwalton,nee,kl,0.032013736822243996,17164
woodwalton,nee,wasserstein,0.1370625893571924,17164
woodwalton,nee_mean,mae,0.5760630965232849,17164
woodwalton,nee_mean,rmse,1.2487366199493408,17164
woodwalton,nee_mean,bias,0.13157029449939728,17164
woodwalton,nee_mean,r2,0.7565995454788208,17164
woodwalton,nee_mean,mmd,0.017472692710041884,17164
woodwalton,nee_mean,kl,0.03384007745900105,17164
woodwalton,nee_mean,wasserstein,0.13473808399165643,17164
woodwalton,f,mae,0.019202103838324547,17164
woodwalton,f,rmse,0.04162455350160599,17164
woodwalton,f,bias,0.004385676700621843,17164
woodwalton,f,r2,-0.023888468742370605,17164
woodwalton,f,mmd,0.005491807558204098,17164
woodwalton,f,kl,3.065199437186757,17164
woodwalton,f,wasserstein,0.0142012662429898,17164
