site,target,metric,value,n
woodwalton,nee,mae,0.7766551375389099,17164
woodwalton,nee,rmse,1.33841073513031,17164
woodwalton,nee,bias,-0.17613573372364044,17164
woodwalton,nee,r2,0.720386266708374,17164
woodwalton,nee,mmd,0.04788984985719931,17164
woodwalton,nee,kl,0.050840165186666106,17164
woodwalton,nee,wasserstein,0.1951770234367506,17164
woodwalton,nee_mean,mae,0.6684234738349915,17164
woodwalton,nee_mean,rmse,1.273468255996704,17164
woodwalton,nee_mean,bias,-0.1698802262544632,17164
woodwalton,nee_mean,r2,0.7468627691268921,17164
woodwalton,nee_mean,mmd,0.04832967015339149,17164
woodwalton,nee_mean,kl,0.051401568809140034,17164
woodwalton,nee_mean,wasserstein,0.18971171905172635,17164
woodwalton,dtemp,mae,0.04044889658689499,17164
woodwalton,dtemp,rmse,0.05167495086789131,17164
woodwalton,dtemp,bias,-0.03883146867156029,17164
woodwalton,dtemp,r2,-13.14382553100586,17164
woodwalton,dtemp,mmd,0.05514012087393966,17164
woodwalton,dtemp,kl,3.559311146148169,17164
woodwalton,dtemp,wasserstein,0.03883146780974008,17164
woodwalton,f,mae,0.022280780598521233,17164
woodwalton,f,rmse,0.04244894161820412,17164
woodwalton,f,bias,-0.0056626745499670506,17164
woodwalton,f,r2,-0.06484711170196533,17164
woodwalton,f,mmd,0.009283766280191183,17164
woodwalton,f,kl,3.7053535962069555,17164
woodwalton,f,wasserstein,0.015697003050510534,17164
