site,target,metric,value,n
woodwalton,nee,mae,1.0637226104736328,17164
woodwalton,nee,rmse,1.9250774383544922,17164
woodwalton,nee,bias,0.046865642070770264,17164
woodwalton,nee,r2,0.42153632640838623,17164
woodwalton,nee,mmd,0.0468775430625273,17164
woodwalton,nee,kl,0.03522889898373998,17164
woodwalton,nee,wasserstein,0.19521985580678905,17164
woodwalton,nee_mean,mae,0.5772467255592346,17164
woodwalton,nee_mean,rmse,1.2533118724822998,17164
woodwalton,nee_mean,bias,0.08324489742517471,17164
woodwalton,nee_mean,r2,0.7548127174377441,17164
woodwalton,nee_mean,mmd,0.02632306964458963,17164
woodwalton,nee_mean,kl,0.037493029260710804,17164
woodwalton,nee_mean,wasserstein,0.13392512962322772,17164
woodwalton,dtemp,mae,0.01739766076207161,17164
woodwalton,dtemp,rmse,0.021982342004776,17164
woodwalton,dtemp,bias,0.0018036282854154706,17164
woodwalton,dtemp,r2,-1.5594968795776367,17164
woodwalton,dtemp,mmd,0.003311684562072885,17164
woodwalton,dtemp,kl,0.341307879773445,17164
woodwalton,dtemp,wasserstein,0.005178250742876517,17164
woodwalton,f,mae,0.019241556525230408,17164
woodwalton,f,rmse,0.04177705943584442,17164
woodwalton,f,bias,0.002774829976260662,17164
woodwalton,f,r2,-0.031404972076416016,17164
woodwalton,f,mmd,0.003966815627263653,17164
woodwalton,f,kl,1.9945799478722044,17164
woodwalton,f,wasserstein,0.014064866786183107,17164
