site,target,metric,value,n
woodwalton,nee,mae,0.8390297889709473,17164
woodwalton,nee,rmse,1.5834904909133911,17164
woodwalton,nee,bias,0.3435482978820801,17164
woodwalton,nee,r2,0.6086091995239258,17164
woodwalton,nee,mmd,0.04227934834897488,17164
woodwalton,nee,kl,0.04125594868328453,17164
woodwalton,nee,wasserstein,0.34403049046207523,17164
woodwalton,nee_mean,mae,0.6856439709663391,17164
woodwalton,nee_mean,rmse,1.3556455373764038,17164
woodwalton,nee_mean,bias,0.36101365089416504,17164
woodwalton,nee_mean,r2,0.7131386995315552,17164
woodwalton,nee_mean,mmd,0.04065033049595713,17164
woodwalton,nee_mean,kl,0.053620009959769836,17164
woodwalton,nee_mean,wasserstein,0.36149408824516527,17164
woodwalton,dtemp,mae,0.0319952592253685,17164
woodwalton,dtemp,rmse,0.04116154834628105,17164
woodwalton,dtemp,bias,0.029526378959417343,17164
woodwalton,dtemp,r2,-7.974082946777344,17164
woodwalton,dtemp,mmd,0.04099818267516276,17164
woodwalton,dtemp,kl,2.1130329375969574,17164
woodwalton,dtemp,wasserstein,0.029526379859138314,17164
woodwalton,f,mae,0.022854801267385483,17164
woodwalton,f,rmse,0.04518818482756615,17164
woodwalton,f,bias,0.012033787555992603,17164
woodwalton,f,r2,-0.20671093463897705,17164
woodwalton,f,mmd,0.015852229571042896,17164
woodwalton,f,kl,2.5772342357468223,17164
woodwalton,f,wasserstein,0.014925987088011298,17164
